CHANNEL,SITE,PERIOD,MONTHLY_TARGET,MGH_3,MGH_CH_PROP,SLS_PER_MC
E-COMMERCE,8164,2/28/2023 0:00:00,0,FOOTWEAR,0.3100302809,0
E-COMMERCE,2001,10/31/2023 0:00:00,0,HEADWEAR,0.1187950802,0
E-COMMERCE,2059,10/31/2023 0:00:00,506498551.3,HEADWEAR,0.1187950802,60169536.01
E-COMMERCE,2293,10/31/2023 0:00:00,249361125,HEADWEAR,0.1187950802,29622874.84
E-COMMERCE,2294,10/31/2023 0:00:00,43658835.21,HEADWEAR,0.1187950802,5186454.83
E-COMMERCE,2295,10/31/2023 0:00:00,2149701.821,HEADWEAR,0.1187950802,255374.0002
E-COMMERCE,2296,10/31/2023 0:00:00,10724363.18,HEADWEAR,0.1187950802,1274001.584
E-COMMERCE,6002,10/31/2023 0:00:00,0,HEADWEAR,0.1187950802,0
E-COMMERCE,8164,10/31/2023 0:00:00,0,HEADWEAR,0.1187950802,0
E-COMMERCE,2001,4/30/2023 0:00:00,0,HEADWEAR,0.07797934195,0
E-COMMERCE,2059,4/30/2023 0:00:00,864978518.1,HEADWEAR,0.07797934195,67450455.64
E-COMMERCE,2293,4/30/2023 0:00:00,425849226.7,HEADWEAR,0.07797934195,33207442.46
E-COMMERCE,2294,4/30/2023 0:00:00,74558860.01,HEADWEAR,0.07797934195,5814050.84
E-COMMERCE,2295,4/30/2023 0:00:00,3671177.126,HEADWEAR,0.07797934195,286275.9764
E-COMMERCE,2296,4/30/2023 0:00:00,18314650.15,HEADWEAR,0.07797934195,1428164.367
E-COMMERCE,6002,4/30/2023 0:00:00,0,HEADWEAR,0.07797934195,0
E-COMMERCE,8164,4/30/2023 0:00:00,0,HEADWEAR,0.07797934195,0
E-COMMERCE,2001,2/28/2023 0:00:00,0,HEADWEAR,0.09381921966,0
E-COMMERCE,2059,2/28/2023 0:00:00,484950161.9,HEADWEAR,0.09381921966,45497645.76
E-COMMERCE,2293,2/28/2023 0:00:00,238752347.1,HEADWEAR,0.09381921966,22399558.9
E-COMMERCE,2294,2/28/2023 0:00:00,41801421.05,HEADWEAR,0.09381921966,3921776.704
E-COMMERCE,2295,2/28/2023 0:00:00,2058245.268,HEADWEAR,0.09381921966,193102.9649
E-COMMERCE,2296,2/28/2023 0:00:00,10268107.67,HEADWEAR,0.09381921966,963345.8491
E-COMMERCE,6002,2/28/2023 0:00:00,0,HEADWEAR,0.09381921966,0
E-COMMERCE,8164,2/28/2023 0:00:00,0,HEADWEAR,0.09381921966,0
E-COMMERCE,2001,11/30/2023 0:00:00,0,HEADWEAR,0.1301995397,0
E-COMMERCE,2059,11/30/2023 0:00:00,504255671.5,HEADWEAR,0.1301995397,65653856.32
E-COMMERCE,2293,11/30/2023 0:00:00,248256902.7,HEADWEAR,0.1301995397,32322934.45
E-COMMERCE,2294,11/30/2023 0:00:00,43465504.91,HEADWEAR,0.1301995397,5659188.731
E-COMMERCE,2295,11/30/2023 0:00:00,2140182.499,HEADWEAR,0.1301995397,278650.7762
E-COMMERCE,2296,11/30/2023 0:00:00,10676873.49,HEADWEAR,0.1301995397,1390124.014
E-COMMERCE,6002,11/30/2023 0:00:00,0,HEADWEAR,0.1301995397,0
E-COMMERCE,8164,11/30/2023 0:00:00,0,HEADWEAR,0.1301995397,0
E-COMMERCE,2001,6/30/2023 0:00:00,0,HEADWEAR,0.121201379,0
E-COMMERCE,2059,6/30/2023 0:00:00,498999555.1,HEADWEAR,0.121201379,60479434.21
E-COMMERCE,2293,6/30/2023 0:00:00,245669193.2,HEADWEAR,0.121201379,29775444.99
E-COMMERCE,2294,6/30/2023 0:00:00,43012441.58,HEADWEAR,0.121201379,5213167.234
E-COMMERCE,2295,6/30/2023 0:00:00,2117874.276,HEADWEAR,0.121201379,256689.2828
E-COMMERCE,2296,6/30/2023 0:00:00,10565582.95,HEADWEAR,0.121201379,1280563.223
E-COMMERCE,6002,6/30/2023 0:00:00,0,HEADWEAR,0.121201379,0
E-COMMERCE,8164,6/30/2023 0:00:00,0,HEADWEAR,0.121201379,0
E-COMMERCE,2001,8/31/2023 0:00:00,0,HEADWEAR,0.1195115131,0
E-COMMERCE,2059,8/31/2023 0:00:00,606042711.9,HEADWEAR,0.1195115131,72429081.51
E-COMMERCE,2293,8/31/2023 0:00:00,298369051.7,HEADWEAR,0.1195115131,35658536.83
E-COMMERCE,2294,8/31/2023 0:00:00,52239278.52,HEADWEAR,0.1195115131,6243195.219
E-COMMERCE,2295,8/31/2023 0:00:00,2572191.21,HEADWEAR,0.1195115131,307406.4635
E-COMMERCE,2296,8/31/2023 0:00:00,12832064.63,HEADWEAR,0.1195115131,1533579.46
E-COMMERCE,6002,8/31/2023 0:00:00,0,HEADWEAR,0.1195115131,0
E-COMMERCE,8164,8/31/2023 0:00:00,0,HEADWEAR,0.1195115131,0
E-COMMERCE,2001,7/31/2023 0:00:00,0,HEADWEAR,0.1421117431,0
E-COMMERCE,2059,7/31/2023 0:00:00,423899542.8,HEADWEAR,0.1421117431,60241102.92
E-COMMERCE,2293,7/31/2023 0:00:00,208695694.4,HEADWEAR,0.1421117431,29658108.9
E-COMMERCE,2294,7/31/2023 0:00:00,36539019.19,HEADWEAR,0.1421117431,5192623.707
E-COMMERCE,2295,7/31/2023 0:00:00,1799131.739,HEADWEAR,0.1421117431,255677.7474
E-COMMERCE,2296,7/31/2023 0:00:00,8975450.447,HEADWEAR,0.1421117431,1275516.908
E-COMMERCE,6002,7/31/2023 0:00:00,0,HEADWEAR,0.1421117431,0
E-COMMERCE,8164,7/31/2023 0:00:00,0,HEADWEAR,0.1421117431,0
E-COMMERCE,2001,1/31/2023 0:00:00,0,HEADWEAR,0.1295554824,0
E-COMMERCE,2059,1/31/2023 0:00:00,410091856.7,HEADWEAR,0.1295554824,53129648.31
E-COMMERCE,2293,1/31/2023 0:00:00,201897846.4,HEADWEAR,0.1295554824,26156972.89
E-COMMERCE,2294,1/31/2023 0:00:00,35348833.17,HEADWEAR,0.1295554824,4579635.133
E-COMMERCE,2295,1/31/2023 0:00:00,1740528.594,HEADWEAR,0.1295554824,225495.0215
E-COMMERCE,2296,1/31/2023 0:00:00,8683092.966,HEADWEAR,0.1295554824,1124942.298
E-COMMERCE,6002,1/31/2023 0:00:00,0,HEADWEAR,0.1295554824,0
E-COMMERCE,8164,1/31/2023 0:00:00,0,HEADWEAR,0.1295554824,0
E-COMMERCE,2001,12/31/2023 0:00:00,0,HEADWEAR,0.05872885252,0
E-COMMERCE,2059,12/31/2023 0:00:00,1152736882,HEADWEAR,0.05872885252,67698914.32
E-COMMERCE,2293,12/31/2023 0:00:00,567519423.1,HEADWEAR,0.05872885252,33329764.5
E-COMMERCE,2294,12/31/2023 0:00:00,99362869.71,HEADWEAR,0.05872885252,5835467.321
E-COMMERCE,2295,12/31/2023 0:00:00,4892492.915,HEADWEAR,0.05872885252,287330.4949
E-COMMERCE,2296,12/31/2023 0:00:00,24407511.01,HEADWEAR,0.05872885252,1433425.115
E-COMMERCE,6002,12/31/2023 0:00:00,0,HEADWEAR,0.05872885252,0
E-COMMERCE,8164,12/31/2023 0:00:00,0,HEADWEAR,0.05872885252,0
E-COMMERCE,2001,5/31/2023 0:00:00,0,HEADWEAR,0.08188242834,0
E-COMMERCE,2059,5/31/2023 0:00:00,589930706.5,HEADWEAR,0.08188242834,48304958.8
E-COMMERCE,2293,5/31/2023 0:00:00,290436733.3,HEADWEAR,0.08188242834,23781665
E-COMMERCE,2294,5/31/2023 0:00:00,50850466.28,HEADWEAR,0.08188242834,4163759.661
E-COMMERCE,2295,5/31/2023 0:00:00,2503807.979,HEADWEAR,0.08188242834,205017.8774
E-COMMERCE,2296,5/31/2023 0:00:00,12490916.57,HEADWEAR,0.08188242834,1022786.581
E-COMMERCE,6002,5/31/2023 0:00:00,0,HEADWEAR,0.08188242834,0
E-COMMERCE,8164,5/31/2023 0:00:00,0,HEADWEAR,0.08188242834,0
E-COMMERCE,2001,9/30/2023 0:00:00,0,HEADWEAR,0.1476345219,0
E-COMMERCE,2059,9/30/2023 0:00:00,549751291.8,HEADWEAR,0.1476345219,81162269.14
E-COMMERCE,2293,9/30/2023 0:00:00,270655464.4,HEADWEAR,0.1476345219,39958090.08
E-COMMERCE,2294,9/30/2023 0:00:00,47387107.02,HEADWEAR,0.1476345219,6995972.89
E-COMMERCE,2295,9/30/2023 0:00:00,2333276.868,HEADWEAR,0.1476345219,344472.2148
E-COMMERCE,2296,9/30/2023 0:00:00,11640176.46,HEADWEAR,0.1476345219,1718491.886
E-COMMERCE,6002,9/30/2023 0:00:00,0,HEADWEAR,0.1476345219,0
E-COMMERCE,8164,9/30/2023 0:00:00,0,HEADWEAR,0.1476345219,0
E-COMMERCE,2001,3/31/2023 0:00:00,0,HEADWEAR,0.09205050989,0
E-COMMERCE,2059,3/31/2023 0:00:00,497942930.6,HEADWEAR,0.09205050989,45835900.65
E-COMMERCE,2293,3/31/2023 0:00:00,245148992.1,HEADWEAR,0.09205050989,22566089.72
E-COMMERCE,2294,3/31/2023 0:00:00,42921363.34,HEADWEAR,0.09205050989,3950933.38
E-COMMERCE,2295,3/31/2023 0:00:00,2113389.707,HEADWEAR,0.09205050989,194538.6001
E-COMMERCE,2296,3/31/2023 0:00:00,10543210.47,HEADWEAR,0.09205050989,970507.8998
E-COMMERCE,6002,3/31/2023 0:00:00,0,HEADWEAR,0.09205050989,0
E-COMMERCE,8164,3/31/2023 0:00:00,0,HEADWEAR,0.09205050989,0
